,Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
0,140000.0,2,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,,,6.0
1,105000.0,4,847.0,25,26,2018,124.0,71.0,16.0,,,,37.0
2,175000.0,3,1786.0,25,26,2010,98.0,,,Ованеса Туманяна,,,
3,30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,площа,Оболонський,10.0
3,30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,вулиця,Подільський,10.0
4,82000.0,2,1281.0,18,26,None,64.0,,,Дніпровська,вулиця,Оболонський,
5,168535.7,3,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,вулиця,"Голосіївський, Печерський, Шевченківський",35.0
6,4500000.0,4,14610.0,18,21,2011,308.0,,,Івана Мазепи,,,
7,135000.0,2,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,вулиця,Оболонський,22.0
8,120000.0,1,2500.0,8,25,2012,48.0,18.0,16.0,Ділова,вулиця,"Голосіївський, Печерський",14.0
9,57500.0,3,625.0,9,9,1970,92.0,,,Новодарницька,,,
10,98000.0,2,1633.0,21,34,2014,60.0,41.0,27.0,Ревуцького,вулиця,Дарницький,-8.0
11,170000.0,3,1735.0,16,22,2018,98.0,48.0,35.0,Липківського,,,15.0
12,320000.0,5,1963.0,23,25,2017,163.0,100.0,14.0,Бендукідзе,,,49.0
13,65000.0,1,2600.0,1,3,None,25.0,20.0,3.0,Введенська,вулиця,Подільський,2.0
14,125000.0,2,2778.0,6,9,1965,45.0,,,Виноградний,провулок,Печерський,
15,48000.0,1,849.0,22,25,None,,40.0,10.0,Кайсарова,вулиця,"Голосіївський,Солом'янський",
16,70000.0,1,1273.0,26,27,2004,55.0,22.0,12.0,Ахматової,,,21.0
17,75000.0,3,1005.0,4,26,None,,,,Радченка,,,
18,84000.0,2,1273.0,6,26,None,66.0,,18.0,Дніпровська,вулиця,Оболонський,
19,175000.0,1,1725.8,7,25,2012,,,,Ділова,вулиця,"Голосіївський, Печерський",
20,63000.0,3,900.0,7,10,1987,70.0,44.0,,Бориспільська,вулиця,Дарницький,
21,390000.0,3,3000.0,11,28,2013,130.0,48.0,66.0,Болсуновська,вулиця,Печерський,16.0
22,335000.0,3,3160.0,24,28,2017,106.0,55.0,24.0,Українки,,,27.0
23,320000.0,3,3137.0,15,24,2016,102.0,70.0,20.0,Антонова,,,12.0
24,140000.0,2,2258.0,7,9,1969,62.0,47.0,9.0,Омеляновича-Павленка,,,6.0
25,105000.0,4,847.0,25,26,2018,124.0,71.0,16.0,,,,37.0
26,175000.0,3,1786.0,25,26,2010,98.0,,,Ованеса Туманяна,,,
27,30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,площа,Оболонський,10.0
27,30970.0,1,1106.0,12,13,2013,28.0,13.0,5.0,Петропавлівська,вулиця,Подільський,10.0
28,82000.0,2,1281.0,18,26,None,64.0,,,Дніпровська,вулиця,Оболонський,
29,168535.7,3,1872.6,4,9,1966,90.0,45.0,10.0,Саксаганського,вулиця,"Голосіївський, Печерський, Шевченківський",35.0
30,4500000.0,4,14610.0,18,21,2011,308.0,,,Івана Мазепи,,,
31,135000.0,2,2077.0,16,23,2012,65.0,25.0,18.0,Дніпровська,вулиця,Оболонський,22.0
